5;Massage heilt Wunden;Level 5 Bannmagie;1 Aktion;18 m;V, G;Unmittelbar;Eine Welle heilender Energie breitet sich von einem Punkt aus, den du in Reichweite sehen kannst. Wähle bis zu sechs Wesen in einer Kugel mit einem30-foot Radius von, deren Mittelpunkt dieser Punkt ist. Jedes Ziel erhält Lebenspunkte in Höhe von5d8 plus deinem Modifikator für die Zauberfertigkeit zurück.<br><br><b>Auf höheren Level gewirkt:</b>Die Heilung erhöht sich um1d8 pro Zauberslot-Stufe über 5.;Barde, Kleriker, Druide;
5;Irreführen;Level 5 Illusionsmagie;1 Aktion;Selbst;G;Konzentration, bis zu 1 h;"Du erhältst den Zustand „Unsichtbar"", während gleichzeitig ein illusorisches Doppelgänger von dir an der Stelle erscheint, an der du stehst. Der Doppelgänger bleibt für die gesamte Dauer bestehen, doch die Unsichtbarkeit endet Unmittelbar, sobald du einen Angriffswurf ausführst, Schaden verursachst oder einen Zauber wirkst.<br><br>Als Magie-Aktion kannst du das illusorische Doppelbild um bis zu das Doppelte deiner Geschwindigkeit bewegen und es nach Belieben gestikulieren, sprechen und sich verhalten lassen. Es ist immateriell und unverwundbar.<br><br>Man kann durch seine Augen sehen und durch seine Ohren hören, als befände man sich an derselben Stelle wie es.";Barde, Hexenmeister, Magier;
5;Speicher ändern;Level 5 Verzauberung;1 Aktion;9 m;V, G;Konzentration, bis zu 1 min;"Du versuchst, die Erinnerungen einer anderen Kreatur zu verändern. Eine Kreatur, die du innerhalb der Reichweite sehen kannst, führt einen WIS-Rettungswurf durch. Wenn du gegen die Kreatur kämpfst, hat sie Vorteil bei diesem Rettungswurf. Bei einem misslungenen Rettungswurf erhält das Ziel für die Dauer den Zustand „Verzaubert"". Während es auf diese Weise verzaubert ist, hat das Ziel außerdem den Zustand „Handlungsunfähig"" und nimmt seine Umgebung nicht wahr, kann dich jedoch hören. Wenn es Schaden erleidet oder von einem anderen Zauber getroffen wird, endet dieser Zauber, und es werden keine Erinnerungen verändert.<br><br>Solange dieser Zauber wirkt, kannst du die Erinnerung des Ziels an ein Ereignis beeinflussen, das es innerhalb der letzten 24 Stunden erlebt hat und das nicht länger als 10 Minuten gedauert hat. Du kannst die Erinnerung an das Ereignis vollständig auslöschen, dem Ziel ermöglichen, sich mit vollkommener Klarheit an das Ereignis zu erinnern, seine Erinnerung an die Einzelheiten des Ereignisses verändern oder eine Erinnerung an ein anderes Ereignis erzeugen.<br><br>Du musst mit dem Ziel sprechen, um zu beschreiben, wie seine Erinnerungen beeinflusst werden, und es muss deine Sprache verstehen können, damit die veränderten Erinnerungen Fuß fassen können. Sein Verstand füllt etwaige Lücken in den Details deiner Beschreibung. Endet der Zauber, bevor du die Beschreibung der veränderten Erinnerungen beendet hast, wird das Gedächtnis der Kreatur nicht verändert. Andernfalls setzen die veränderten Erinnerungen ein, sobald der Zauber endet.<br><br>Eine veränderte Erinnerung wirkt sich nicht unbedingt auf das Verhalten einer Kreatur aus, insbesondere wenn die Erinnerung im Widerspruch zu ihren natürlichen Neigungen, ihrer Gesinnung oder ihren Überzeugungen steht. Eine unlogische veränderte Erinnerung, wie etwa die falsche Erinnerung daran, wie sehr die Kreatur das Schwimmen in Säure genossen hat, wird als böser Traum abgetan. Der Spielleiter könnte eine veränderte Erinnerung als zu unsinnig erachten, um eine Kreatur zu beeinflussen.<br><br>Ein auf das Ziel gewirkter Zauber „Fluchaufhebung"" oder „Große Wiederherstellung"" stellt die wahren Erinnerungen der Kreatur wieder her.<br><br><b>Auf höheren Level gewirkt:</b>Du kannst die Erinnerungen des Ziels an ein Ereignis verändern, das bis zu 7 Tage (Zauberplatz der Stufe 6), 30 Tage (Zauberplatz der Stufe 7), 365 Tage (Zauberplatz der Stufe 8) oder zu einem beliebigen Zeitpunkt in der Vergangenheit der Kreatur (Zauberplatz der Stufe 9) stattgefunden hat.";Barde, Magier;
5;Passwall;Level 5 Verwandlungsmagie;1 Aktion;9 m;V, G, M;1 h;(eine Prise Sesam) An einer Stelle, die du auf einer Oberfläche aus Holz, Gips oder Stein (z. B. einer Wand, Decke oder einem Boden) in Reichweite erkennen kannst, erscheint ein Durchgang, der für die gesamte Dauer des Zaubers bestehen bleibt. Du bestimmst die Abmessungen der Öffnung: bis zu5 feet Breite,2,4 m Höhe und20 feet Tiefe. Der Durchgang verursacht keine Instabilität in der ihn umgebenden Struktur.<br><br>Wenn sich die Öffnung schließt, werden alle Kreaturen oder Gegenstände, die sich noch in dem durch den Zauber erzeugten Durchgang befinden, sicher an einen freien Platz befördert, der der Oberfläche, auf der du den Zauber gewirkt hast, am nächsten liegt.;Magier;
5;Flachbindung;Level 5 Bannmagie;1 h;18 m;V, G, M;24 h;"(ein Juwel im Wert von mindestens 1.000 Goldstücken, das der Zauber verbraucht) Du versuchst, einen Himmlischen, ein Elementarwesen, ein Feenwesen oder einen Dämon in deinen Dienst zu binden. Die Kreatur muss sich während der gesamten Dauer der Zauberausführung in Reichweite befinden. (In der Regel wird die Kreatur zunächst in die Mitte der umgekehrten Version des Zaubers „Magischer Kreis"" beschworen, um sie dort festzuhalten, während dieser Zauber gewirkt wird.) Nach Abschluss des Zaubervorgangs muss das Ziel einen CHA-Rettungswurf bestehen oder ist für die Dauer des Zaubers an deinen Dienst gebunden. Wurde die Kreatur durch einen anderen Zauber beschworen oder erschaffen, verlängert sich die Dauer dieses Zaubers entsprechend der Dauer des vorliegenden Zaubers.<br><br>Eine gebundene Kreatur muss deinen Befehlen nach besten Kräften Folge leisten. Du kannst der Kreatur befehlen, dich auf einem Abenteuer zu begleiten, einen Ort zu bewachen oder eine Nachricht zu überbringen. Ist die Kreatur feindselig, versucht sie, deine Befehle zu ihren eigenen Zwecken zu verdrehen. Führt die Kreatur deine Befehle vollständig aus, bevor der Zauber endet, begibt sie sich zu dir, um dir dies zu berichten, sofern du dich auf derselben Existenzebene befindest. Befindest du dich auf einer anderen Ebene, kehrt sie an den Ort zurück, an dem du sie gebunden hast, und verbleibt dort, bis der Zauber endet.<br><br><b>Auf höheren Level gewirkt:</b>Die Wirkungsdauer verlängert sich bei einem Zauberslot der Stufe 6 (10 Tage), 7 (30 Tage), 8 (180 Tage) und 9 (366 Tage).";Barde, Kleriker, Druide, Hexenmeister, Magier;
5;Tote auferwecken;Level 5 Nekromantie;1 h;Berührung;V, G, M;Unmittelbar;(ein Diamant im Wert von mindestens 500 Goldstücken, den der Zauber verbraucht) Durch eine Berührung erweckst du eine tote Kreatur wieder zum Leben, sofern sie nicht länger als 10 Tage tot ist und zum Zeitpunkt ihres Todes kein Untoter war.<br><br>Die Kreatur erwacht mit 1 Lebenspunkt wieder zum Leben. Dieser Zauber neutralisiert zudem alle Gifte, von denen die Kreatur zum Zeitpunkt ihres Todes betroffen war.<br><br>Dieser Zauber heilt alle tödlichen Verwundungen, stellt jedoch fehlende Körperteile nicht wieder her. Fehlen der Kreatur Körperteile oder Organe, die für ihr Überleben unerlässlich sind - beispielsweise ihr Kopf -, schlägt der Zauber automatisch fehl.<br><br>Die Rückkehr aus dem Tod ist eine Tortur. Das Ziel erhält einen Malus von -4 aufD20Proben. Jedes Mal, wenn das Ziel eine lange Ruhepause beendet, verringert sich der Malus um 1, bis er 0 beträgt.;Barde, Kleriker, Paladin;
5;Rarys telepathische Verbindung;Level 5 Erkenntnismagie;1 Aktion or Ritual;9 m;V, G, M;1 h;(zwei Eier) Du stellst eine telepathische Verbindung zwischen bis zu acht willigen Wesen deiner Wahl innerhalb der Reichweite her und verbindest jedes Wesen für die Dauer des Zaubers psychisch mit allen anderen. Wesen, die in keiner Sprache kommunizieren können, sind von diesem Zauber nicht betroffen.<br><br>Solange der Zauber wirkt, können die Zielpersonen über diese Verbindung telepathisch miteinander kommunizieren, unabhängig davon, ob sie dieselbe Sprache sprechen oder nicht. Die Kommunikation ist über jede Entfernung hinweg möglich, erstreckt sich jedoch nicht auf andere Ebenen der Existenz.;Barde, Magier;
5;Wiedergeburt;Level 5 Nekromantie;1 h;Berührung;V, G, M;Unmittelbar;(seltene Öle im Wert von über 1.000 GP, die der Zauber verbraucht) Du berührst einen toten Humanoiden oder einen Teil davon. Wenn die Kreatur seit höchstens 10 Tagen tot ist, formt der Zauber einen neuen Körper für sie und ruft die Seele herbei, damit sie in diesen Körper eintritt. Wirf1d10den Würfel und schau in der Tabelle unten nach, um die Spezies des Körpers zu bestimmen, oder der Spielleiter wählt eine andere spielbare Spezies aus.<br><br>1W10 Rasse 1 Aasimar 2 Drachengeburt 3 Zwerg 4 Elf 5 Gnom 6 Goliath 7 Halbling 8 Mensch 9 Ork 10 Tiefling<br><br>Die wiedergeborene Kreatur trifft alle Entscheidungen, die in der Beschreibung der Spezies vorgesehen sind, und erinnert sich an ihr früheres Leben. Sie behält die Fähigkeiten bei, die sie in ihrer ursprünglichen Gestalt hatte, verliert jedoch die Eigenschaften ihrer früheren Spezies und erhält die Eigenschaften ihrer neuen.;Druide;
5;Wahrsagen;Level 5 Erkenntnismagie;10 min;Selbst;V, G, M;Konzentration, bis zu 10 min;(ein Fokus im Wert von 1.000+ GP, wie beispielsweise eine Kristallkugel, ein Spiegel oder ein mit Wasser gefülltes Becken) Du kannst eine Kreatur deiner Wahl sehen und hören, die sich auf derselben Existenzebene wie du befindet. Das Ziel führt einen WIS-Rettungswurf durch, der (siehe die Tabellen unten) davon beeinflusst wird, wie gut du das Ziel kennst und welche Art von physischer Verbindung du zu ihm hast. Das Ziel weiß nicht, wogegen es den Rettungswurf macht, sondern nur, dass es sich unwohl fühlt.<br><br>Deine Kenntnisse über das Ziel sind... Modifikator für Rettungswurf Aus zweiter Hand (hast vom Ziel gehört) +5 Aus erster Hand (hast das Ziel getroffen) +0 Umfassend (kennst das Ziel gut) -5<br><br>Du hast ein Bild oder ein anderes Abbild des Ziels ... -2 Kleidungsstück oder anderer Besitz -4 Körperteil, Haarsträhne oder Fingernagelstück -10<br><br>Bei einem erfolgreichen Rettungswurf bleibt das Ziel unbeeinträchtigt, und du kannst diesen Zauber 24 Stunden lang nicht erneut auf es anwenden.<br><br>Bei einem missglückten Rettungswurf erzeugt der Zauber einen unsichtbaren, nicht greifbaren Sensor im Umkreis10 feetvon vom Ziel. Du kannst durch den Sensor sehen und hören, als wärst du selbst dort. Der Sensor bewegt sich mit dem Ziel mit und bleibt während der gesamten Wirkungsdauer im Umkreis10 feetvon vom Ziel. Wenn jemand den Sensor sehen kann, erscheint er als leuchtende Kugel von etwa der Größe deiner Faust.<br><br>Anstatt eine Kreatur als Ziel zu wählen, kannst du einen Ort wählen, den du gesehen hast. Wenn du dies tust, erscheint der Sensor an diesem Ort und bewegt sich nicht.;Barde, Kleriker, Druide, Hexenmeister, Magier;
5;Scheinbar;Level 5 Illusionsmagie;1 Aktion;9 m;V, G;8 h;"Du verleihst jedem Lebewesen deiner Wahl, das du innerhalb der Reichweite sehen kannst, eine trügerische Erscheinung. Ein widerwilliges Ziel kann einen CHA-Rettungswurf durchführen; bei Erfolg bleibt es von diesem Zauber unberührt.<br><br>Du kannst den Zielen das gleiche oder unterschiedliche Aussehen verleihen. Der Zauber kann das Aussehen der Körper und der Ausrüstung der Ziele verändern. Du kannst jede Kreatur kleiner oder größer1 foot erscheinen lassen und sie schwerer oder leichter wirken lassen. Das neue Aussehen eines Ziels muss die gleiche grundlegende Anordnung der Gliedmaßen aufweisen wie das Ziel selbst, doch der Umfang der Illusion liegt ansonsten in deinem Ermessen. Der Zauber hält so lange an, wie er wirkt.<br><br>Die durch diesen Zauber hervorgerufenen Veränderungen halten einer genauen Betrachtung nicht stand. Wenn du diesen Zauber beispielsweise einsetzt, um einer Kreatur einen Hut aufzusetzen, gehen Gegenstände durch den Hut hindurch.<br><br>Ein Wesen, das die Aktion „Untersuchen"" ausführt, um ein Ziel zu untersuchen, kann einen Intelligenz-Probe (Untersuchen) gegen deine Zauber-Rettungswurf-Schwierigkeitsklasse durchführen. Ist die Probe erfolgreich, erkennt es, dass das Ziel getarnt ist.";Barde, Zauberer, Magier;
5;Stahlwindschlag;Level 5 Beschwörung;1 Aktion;9 m;G, M;Unmittelbar;(eine Nahkampfwaffe im Wert von 1+ SP) Du führst eine schwungvolle Bewegung mit der beim Zaubern verwendeten Waffe aus und verschwindest dann, um blitzschnell zuzuschlagen. Wähle bis zu fünf Kreaturen aus, die du in Reichweite sehen kannst. Führe gegen jedes Ziel einen Nahkampf-Zauberangriff aus. Bei einem Treffer erleidet das Ziel6d10 Kraftschaden.<br><br>Du teleportierst dich dann zu einem freien Platz, den du in5 feetSichtweite eines der Ziele sehen kannst.;Waldläufer, Magier;
5;Himmlischen beschwören;Level 5 Beschwörung;1 Aktion;27 m;V, G, M;Konzentration, bis zu 1 h;"(ein Reliquiar im Wert von über 500 Goldstücken) Du rufst einen himmlischen Geist herbei. Er erscheint in einer engelhaften Gestalt an einem freien Ort, den du innerhalb der Reichweite sehen kannst, und verwendet den Statusblock „Himmlischer Geist"". Wenn du den Zauber wirkst, wähle zwischen „Rächer"" und „Verteidiger"". Deine Wahl bestimmt bestimmte Details in seinem Statusblock. Die Kreatur verschwindet, wenn ihre TP auf 0 sinken oder wenn der Zauber endet.<br><br>Die Kreatur ist ein Verbündeter von dir und deinen Verbündeten. Im Kampf teilt sich die Kreatur deine Initiative, ist jedoch unmittelbar nach dir an der Reihe. Sie befolgt deine verbalen Befehle (ohne dass du dafür eine Aktion aufwenden musst). Wenn du keine Befehle erteilst, führt sie die Aktion „Ausweichen"" aus und nutzt ihre Bewegung, um Gefahren auszuweichen.<br><br><b>Auf höheren Level gewirkt:</b>Verwende die Stufe des Zauberslots als Stufe des Zaubers im Charakterblatt.<br><br>Himmlischer Geist Großer Himmlischer Geist, Neutral Rüstungsklasse: 11 + Zauberstufe + 2 (nur Verteidiger) TP: 40 + 10 für jede Zauberstufe über 5 Geschwindigkeit: 9 m., Fliegen 12 m. STÄR (Mod / Rett) GES (Mod / Rett) KON (Mod / Rett) INT (Mod / Rett) WEIS (Mod / Rett.) CHA (Mod / Rett.) 16 (+3 / +3) 14 (+2 / +2) 16 (+3 / +3) 10 (+0 / +0) 14 (+2 / +2) 16 (+3 / +3) Resistenzen: Strahlend Immunitäten: Verzaubert, Verängstigt Sinne: Dunkelheitssicht 18 m., Passive Wahrnehmung 12 Sprachen: Himmlisch, versteht die Sprachen, die du kennst Herausforderungsgrad: Keiner (XP 0; PB entspricht deinem Fertigkeitsbonus) Aktionen Mehrfachangriff. Der Geist führt eine Anzahl von Angriffen durch, die der Hälfte der Stufe dieses Zaubers entspricht (abgerundet). Strahlungsbogen (nur für Rächer). Fernkampfangriffswurf: Der Bonus entspricht deinem Zauberangriffsmodifikator, Reichweite 180 m. Treffer:2W6 + 2 + die Stufe des Zaubers Strahlungsschaden. Strahlende Keule (nur für Verteidiger). Nahkampfangriffswurf: Der Bonus entspricht deinem Zauberangriffsmodifikator, Reichweite 1,5 m. Treffer:1W10 + 3 + die Stufe des Zaubers Strahlenschaden, und der Geist kann sich selbst oder eine andere Kreatur wählen, die er innerhalb10 feetvon des Ziels sehen kann. Die gewählte Kreatur erhält1d10 temporäre TP. Heilende Berührung (1 / Tag). Der Geist berührt eine andere Kreatur. Das Ziel erhält TP in Höhe von2d8 + die Stufe des Zaubers.";Kleriker, Paladin;
5;Drachen beschwören;Level 5 Beschwörung;1 Aktion;18 m;V, G, M;Konzentration, bis zu 1 h;"(ein Gegenstand mit einem eingravierten Drachenbild im Wert von über 500 Goldstücken) Du rufst einen Drachengeist herbei. Er manifestiert sich an einer freien Stelle, die du innerhalb der Reichweite sehen kannst, und verwendet den Charakterbogen „Draconic Spirit"". Die Kreatur verschwindet, sobald ihre TP auf 0 sinken oder der Zauber endet.<br><br>Die Kreatur ist ein Verbündeter von dir und deinen Verbündeten. Im Kampf teilt sich die Kreatur deine Initiative, ist jedoch unmittelbar nach dir an der Reihe. Sie befolgt deine verbalen Befehle (ohne dass du dafür eine Aktion aufwenden musst). Wenn du keine Befehle erteilst, führt sie die Aktion „Ausweichen"" aus und nutzt ihre Bewegung, um Gefahren auszuweichen.<br><br><b>Auf höheren Level gewirkt:</b>Verwende die Stufe des Zauberslots als Stufe des Zaubers im Charakterblatt.<br><br>Drachengeist Großer Drache, neutral Rüstungsklasse: 14 + die Stufe des Zaubers TP: 50 + 10 für jede Zauberstufe über 5 Geschwindigkeit: 9 m., Fliegen 18 m., Schwimmen 9 m. STÄ (Mod / Rett) GES (Mod / Rett) KON (Mod / Rett.) INT (Mod / Rett.) WEIS (Mod / Rett.) CHA (Mod / Rett.) 19 (+4 / +4) 14 (+2 / +2) 17 (+3 / +3) 10 (+0 / +0) 14 (+2 / +2) 14 (+2 / +2) Resistenzen: Säure, Kälte, Feuer, Blitz, Gift Immunitäten: Verzaubert, Verängstigt, Vergiftet Sinne: Blindsicht 9 m., Dunkelheitssicht 18 m., Passive Wahrnehmung 12 Sprachen: Draconisch, versteht die Sprachen, die du kennst Herausforderungsgrad: Keiner (XP 0; PB entspricht deinem Fertigkeitsbonus) Gemeinsame Eigenschaften Resistenzen. Wenn du den Geist beschwörst, wähle eine seiner Resistenzen aus. Du hast Resistenz gegen die gewählte Schadensart, bis der Zauber endet. Aktionen: Mehrfachangriff. Der Geist führt eine Anzahl von Zerreißangriffen durch, die der Hälfte der Zauberstufe entspricht (abgerundet), und er setzt seine Atemwaffe ein. Zerreißen. Nahkampfangriff: Der Bonus entspricht deinem Zauberangriffsmodifikator, Reichweite 3 m. Treffer:1W6 + 4 + Zauberstufe durchdringender Schaden. Atemwaffe. Geschicklichkeitsrettungswurf: SG entspricht deinem Zauberrettungs-DC, jede Kreatur in einem30-foot Kegel. Fehlschlag:2W6 Schaden einer Art, gegen die dieser Geist Resistenz besitzt (deine Wahl beim Wirken des Zaubers). Erfolg: Halber Schaden";Magier;
5;Schneller Köcher;Level 5 Verwandlungsmagie;1 Bonus Aktion;Selbst;V, G, M;Konzentration, bis zu 1 min;(ein Köcher im Wert von 1+ GP) Wenn du den Zauber wirkst und bis zu dessen Ende als Bonus Aktion, kannst du zwei Angriffe mit einer Waffe ausführen, die Pfeile oder Bolzen verschießt, wie beispielsweise ein Langbogen oder eine leichte Armbrust. Der Zauber erzeugt auf magische Weise die für jeden Angriff benötigte Munition. Jeder durch den Zauber erzeugte Pfeil oder Bolzen verursacht Schaden wie ein nichtmagisches Stück Munition seiner Art und löst sich unmittelbar nach dem Treffer oder Fehlschuss auf.;Waldläufer;
5;Synaptische Statik;Level 5 Verzauberung;1 Aktion;36 m;V, G;Unmittelbar;"Du lässt an einem Punkt innerhalb der Reichweite psychische Energie entladen. Jede Kreatur in einer Kugel mit 20-footeinem Radius von S, deren Mittelpunkt dieser Punkt ist, muss einen INT-Rettungswurf durchführen; bei einem misslungenen Rettungswurf erleidet sie8d6psychischen Schaden, bei einem erfolgreichen Rettungswurf nur die Hälfte dieses Schadens.<br><br>Bei einem misslungenen Rettungswurf leidet das Ziel zudem 1 min lang unter verwirrten Gedanken. Während dieser Zeit erhält es einen1d6Malus auf alle seine Angriffswürfe und Fertigkeitsproben sowie auf alle Konstitutions-Rettungswürfe, die zum Aufrechterhalten der Konzentration erforderlich sind. Das Ziel führt am Ende jedes seiner Züge einen INT-Rettungswurf durch; bei Erfolg endet der Effekt für das Ziel.";Barde, Zauberer, Hexenmeister, Magier;
5;Telekinese;Level 5 Verwandlungsmagie;1 Aktion;18 m;V, G;Konzentration, bis zu 10 min;"Du erhältst die Fähigkeit, Kreaturen oder Gegenstände durch Gedankenkraft zu bewegen oder zu manipulieren. Wenn du den Zauber wirkst und in deinen späteren Runden, bevor der Zauber endet, eine magische Aktion ausführst, kannst du deinen Willen auf eine Kreatur oder einen Gegenstand ausüben, die bzw. den du in Reichweite sehen kannst, und so den entsprechenden Effekt (siehe unten) auslösen. Du kannst Runde für Runde dasselbe Ziel beeinflussen oder jederzeit ein neues auswählen. Wenn du das Ziel wechselst, wirkt sich der Zauber nicht mehr auf das vorherige Ziel aus.<br><br>Kreatur. Du kannst versuchen, eine riesige oder kleinere Kreatur zu bewegen. Das Ziel muss einen STR-Rettungswurf bestehen, andernfalls bewegst du es bis zu30 feet in eine beliebige Richtung innerhalb der Reichweite des Zaubers. Bis zum Ende deines nächsten Zuges befindet sich die Kreatur im Zustand „Gefesselt"", und wenn du sie in die Luft hebst, schwebt sie dort. Sie fällt am Ende deines nächsten Zuges herunter, es sei denn, du wendest diese Option erneut auf sie an und sie besteht den Rettungswurf nicht.<br><br>Objekt. Du kannst versuchen, ein riesiges oder kleineres Objekt zu bewegen. Wenn das Objekt nicht getragen oder mitgeführt wird, bewegst du es automatisch bis zu30 feet in jede beliebige Richtung innerhalb der Reichweite des Zaubers.<br><br>Wenn das Objekt von einer Kreatur getragen oder bei sich getragen wird, muss diese Kreatur einen STR-Rettungswurf bestehen; andernfalls ziehst du das Objekt weg und bewegst es bis zu30 feet in eine beliebige Richtung innerhalb der Reichweite des Zaubers.<br><br>Mit deinem telekinetischen Griff kannst du Objekte präzise steuern, beispielsweise ein einfaches Werkzeug bedienen, eine Tür oder einen Behälter öffnen, einen Gegenstand in einen offenen Behälter legen oder daraus entnehmen oder den Inhalt einer Flasche ausgießen.";Zauberer, Magier;
5;Teleportationskreis;Level 5 Beschwörung;1 min;3 m;V, M;1 Runde (6 s);(seltene Tinten im Wert von 50+ GP, die der Zauber verbraucht) Während du den Zauber wirkst, zeichnest du einen Kreis mit einem5-foot Radius von auf den Boden, der mit Siegeln versehen ist, welche deinen Standort mit einem permanenten Teleportationskreis deiner Wahl verbinden, dessen Siegelsequenz du kennst und der sich auf derselben Existenzebene wie du befindet. Ein schimmerndes Portal öffnet sich innerhalb des von dir gezeichneten Kreises und bleibt bis zum Ende deines nächsten Zuges offen. Jede Kreatur, die das Portal betritt, erscheint augenblicklich innerhalb5 feetvon des Zielkreises oder auf dem nächstgelegenen freien Feld, falls dieses Feld besetzt ist.<br><br>Viele große Tempel, Zunfthäuser und andere bedeutende Orte verfügen über permanente Teleportationskreise. Jeder Kreis enthält eine einzigartige Siegelsequenz - eine Reihe von Runen, die in einem bestimmten Muster angeordnet sind.<br><br>Sobald du diesen Zauber zum ersten Mal wirken kannst, lernst du die Siegelsequenzen für zwei Ziele auf der materiellen Ebene, die vom Spielleiter festgelegt werden. Im Laufe deiner Abenteuer kannst du weitere Siegelsequenzen erlernen. Du kannst dir eine neue Siegelsequenz einprägen, nachdem du sie 1 min lang studiert hast.<br><br>Du kannst einen permanenten Teleportationskreis erschaffen, indem du diesen Zauber 365 Tage lang jeden Tag an derselben Stelle wirkst.;Barde, Zauberer, Hexenmeister, Magier;
5;Baumschritt;Level 5 Beschwörung;1 Aktion;Selbst;V, G;Konzentration, bis zu 1 min;Du erhältst die Fähigkeit, einen Baum zu betreten und dich von dessen Innerem in das Innere eines anderen Baumes derselben Art innerhalb500 feet von zu bewegen. Beide Bäume müssen lebendig und mindestens so groß wie du sein. Du musst Bewegungspunkte aufwenden5 feet, um einen Baum zu betreten. Du kennst Unmittelbar die Position aller anderen Bäume derselben Art innerhalb500 feetvon und kannst als Teil der Bewegung, die du zum Betreten des Baumes aufwendest, entweder in einen dieser Bäume hinübergehen oder aus dem Baum, in dem du dich befindest, heraustreten. Du erscheinst an einem Ort deiner Wahl innerhalb5 feet des Zielbaums und verbrauchst dabei eine weitere5 feet Bewegungseinheit. Wenn du keine Bewegungseinheiten mehr hast, erscheinst du innerhalb5 feet des Baums, den du betreten hast.<br><br>Du kannst diese Fortbewegungsfähigkeit in jedem deiner Züge nur einmal einsetzen. Du musst jeden Zug außerhalb eines Baumes beenden.;Druide, Waldläufer;
5;Kraftwand;Level 5 Hervorrufung;1 Aktion;36 m;V, G, M;Konzentration, bis zu 10 min;"(ein Glassplitter) Eine unsichtbare Kraftwand entsteht an einem Punkt deiner Wahl innerhalb der Reichweite. Die Wand erscheint in einer beliebigen Ausrichtung deiner Wahl, als horizontale oder vertikale Barriere oder in einem Winkel. Sie kann frei schweben oder auf einer festen Oberfläche aufliegen. Du kannst sie zu einer halbkugelförmigen Kuppel oder einer Kugel mit einem Radius von bis zu formen10 feet, oder du kannst eine flache Oberfläche aus zehn 10-footmal Fuß -10großen Platten gestalten. Jede Platte muss an eine andere Platte angrenzen. In jeder Form ist die Wand1 / 4 Zoll dick und hält für die Dauer an. Wenn die Wand beim Erscheinen den Raum einer Kreatur durchschneidet, wird die Kreatur auf eine Seite der Wand gedrängt (du wählst, welche Seite).<br><br>Nichts kann die Wand physisch durchdringen. Sie ist immun gegen jeglichen Schaden und kann nicht durch „Magie bannen"" aufgehoben werden. Ein „Zerstörungszauber"" zerstört die Wand jedoch augenblicklich. Die Wand erstreckt sich zudem bis in die Ätherische Ebene und verhindert ätherische Reisen durch die Wand.";Magier;
5;Steinmauer;Level 5 Hervorrufung;1 Aktion;36 m;V, G, M;Konzentration, bis zu 10 min;"(ein Granitblock) An einem von dir gewählten Punkt innerhalb der Reichweite entsteht eine nichtmagische Wand aus massivem Stein. Die Wand ist6 inches dick und besteht aus -mal-Fuß -10großen10-foot Platten. Jede Platte muss an eine andere Platte angrenzen. Alternativ kannst du -mal-Fuß -20große 10-footPlatten erschaffen, die nur3 inches dick sind.<br><br>Wenn die Wand beim Erscheinen den Raum einer Kreatur durchschneidet, wird diese an eine Seite der Wand gedrängt (du entscheidest, welche Seite). Wenn eine Kreatur von allen Seiten von der Wand (oder der Wand und einer anderen festen Oberfläche) umschlossen wäre, kann sie einen Geschicklichkeitsrettungswurf durchführen. Bei Erfolg kann sie ihre Reaktion nutzen, um sich um bis zu ihrer Bewegungsreichweite zu bewegen, sodass sie nicht mehr von der Wand eingeschlossen ist.<br><br>Die Mauer kann jede beliebige Form annehmen, darf jedoch nicht denselben Raum einnehmen wie ein Lebewesen oder ein Gegenstand. Die Mauer muss weder senkrecht stehen noch auf einem festen Fundament ruhen. Sie muss jedoch mit vorhandenem Gestein verschmelzen und von diesem fest gestützt werden. So kannst du diesen Zauber nutzen, um eine Schlucht zu überbrücken oder eine Rampe zu errichten.<br><br>Wenn du eine Spannweite mit einer Länge von20 feet mehr als erstellst, musst du die Größe jedes einzelnen Feldes halbieren, um Stützen zu schaffen. Du kannst die Wand grob formen, um Zinnen und Ähnliches zu gestalten.<br><br>Die Mauer ist ein Objekt aus Stein, das beschädigt und somit durchbrochen werden kann. Jede Mauerplatte hat eine Rüstungsklasse von 15 und 30 TP pro Zentimeter Dicke; außerdem ist sie immun gegen Gift- und Psischaden. Wird eine Mauerplatte auf 0 TP reduziert, wird sie zerstört, was nach Ermessen des Spielleiters dazu führen kann, dass angrenzende Mauerplatten einstürzen.<br><br>Wenn du deine Konzentration auf diesen Zauber während seiner gesamten Dauer aufrechterhältst, wird die Wand dauerhaft und kann nicht gebannt werden. Andernfalls verschwindet die Wand, sobald der Zauber endet.";Artificer, Druide, Zauberer, Magier;
5;Yolandes königliche Ausstrahlung;Level 5 Verzauberung;1 Aktion;Selbst;COMPONENT: V, G, M;Konzentration, bis zu 1 min;"(eine Miniatur-Tiara) Du umgibst dich in einer10-footEmanation mit überirdischer Erhabenheit. Immer wenn die Emanation den Raum einer Kreatur betritt, die du sehen kannst, und immer wenn eine Kreatur, die du sehen kannst, die Emanation betritt oder dort ihren Zug beendet, kannst du diese Kreatur zwingen, einen WIS-Rettungswurf durchzuführen. Bei einem misslungenen Rettungswurf erleidet das Ziel4d6 psychischen Schaden und erhält den Zustand „am Boden liegend"", und du kannst es bis zu10 feet Weit entfernt wegstoßen. Bei einem erfolgreichen Rettungswurf erleidet das Ziel nur die Hälfte des Schadens. Eine Kreatur darf diesen Rettungswurf nur einmal pro Runde durchführen.";Barde, Magier;
